clothing,resting_heartrate,thermal_cozie,nb_temp,user_id,t-ubi
10.0,76,10.0,28.938,enth15,24.919891
10.0,71,10.0,29.125,enth15,25.715645
10.0,72,10.0,29.938,enth15,25.758377
10.0,70,11.0,28.688,enth15,22.6
10.0,70,10.0,28.688,enth15,23.7
10.0,70,10.0,29.312,enth15,23.2
10.0,69,10.0,28.875,enth15,22.5
10.0,69,10.0,28.938,enth15,22.3
10.0,69,10.0,29.188,enth15,22.3
10.0,68,10.0,27.875,enth15,22.2
10.0,68,10.0,29.188,enth15,22.4
10.0,68,10.0,27.688,enth15,22.1
9.0,68,10.0,29.062,enth15,26.11
9.0,68,10.0,29.062,enth15,26.11
10.0,66,10.0,29.688,enth15,25.291069
10.0,66,10.0,29.125,enth15,24.850464
10.0,65,10.0,29.062,enth15,24.765015
10.0,65,10.0,29.875,enth15,24.399178
10.0,65,10.0,29.375,enth15,24.399178
10.0,65,10.0,29.375,enth15,24.356453
10.0,65,10.0,28.938,enth15,24.116119
10.0,64,10.0,29.562,enth15,30.0
10.0,64,10.0,32.688,enth15,31.3636
10.0,64,10.0,33.0,enth15,31.227
10.0,64,10.0,33.312,enth15,30.815
10.0,64,10.0,32.0,enth15,30.7118
10.0,64,10.0,32.0,enth15,32.78
10.0,64,11.0,31.5,enth15,30.5334
10.0,64,10.0,29.25,enth15,22.2
10.0,64,10.0,28.812,enth15,22.3
10.0,68,10.0,29.188,enth15,23.0
10.0,68,10.0,29.312,enth15,22.5
10.0,66,10.0,28.312,enth15,22.3
10.0,66,10.0,30.062,enth15,22.0
10.0,66,10.0,30.312,enth15,23.515
10.0,65,10.0,30.875,enth15,23.93721
10.0,65,10.0,27.125,enth15,23.4118
10.0,65,10.0,29.0,enth15,24.9773
10.0,65,10.0,28.625,enth15,25.480659
10.0,64,10.0,28.812,enth15,24.233612
10.0,64,10.0,30.438,enth15,24.204239
10.0,64,10.0,31.5,enth15,23.5015
10.0,64,10.0,28.188,enth15,25.0
10.0,64,10.0,29.0,enth15,25.0
10.0,64,10.0,29.312,enth15,25.0
9.0,64,10.0,29.312,enth15,25.0
9.0,64,10.0,28.875,enth15,25.0
9.0,62,10.0,28.812,enth15,25.0
10.0,62,10.0,28.812,enth15,25.0
10.0,62,10.0,29.125,enth15,25.0
10.0,62,10.0,30.062,enth15,25.0
10.0,62,10.0,29.25,enth15,25.0
10.0,62,10.0,29.875,enth15,25.0
10.0,62,10.0,29.812,enth15,25.0
10.0,62,10.0,29.438,enth15,25.0
10.0,62,10.0,27.812,enth15,25.2506
10.0,62,10.0,26.688,enth15,25.2224
10.0,62,10.0,25.438,enth15,24.412
10.0,61,10.0,27.625,enth15,24.412
10.0,61,10.0,27.938,enth15,24.412
10.0,61,10.0,28.188,enth15,24.412
10.0,61,10.0,28.062,enth15,24.412
10.0,61,10.0,27.875,enth15,24.412
10.0,61,10.0,27.938,enth15,24.412
10.0,61,10.0,29.0,enth15,24.412
10.0,61,10.0,28.125,enth15,24.412
10.0,61,10.0,28.438,enth15,24.412
10.0,61,10.0,28.25,enth15,24.412
10.0,61,10.0,29.0,enth15,24.412
10.0,61,10.0,29.062,enth15,24.412
10.0,61,10.0,26.062,enth15,25.0
9.0,61,10.0,31.0,enth15,27.78
9.0,61,10.0,31.125,enth15,28.33
9.0,61,10.0,27.812,enth15,21.5823
9.0,61,10.0,29.938,enth15,28.8072
9.0,61,10.0,31.5,enth15,29.2046
9.0,61,10.0,31.188,enth15,31.11
9.0,61,10.0,31.625,enth15,29.1462
9.0,61,10.0,31.625,enth15,29.2046
9.0,61,10.0,32.125,enth15,29.1608
9.0,61,10.0,31.625,enth15,29.0127
9.0,61,10.0,31.438,enth15,28.9094
9.0,61,10.0,32.125,enth15,28.9679
9.0,61,10.0,31.75,enth15,28.9261
9.0,61,10.0,31.25,enth15,28.9679
9.0,61,10.0,31.688,enth15,28.9679
9.0,60,10.0,29.625,enth15,23.7236
9.0,60,10.0,30.375,enth15,29.044
9.0,60,10.0,30.188,enth15,30.56
9.0,63,11.0,28.25,enth13,23.907837
9.0,63,11.0,27.562,enth13,24.006638
9.0,63,10.0,27.75,enth13,24.006638
9.0,62,10.0,27.562,enth13,24.022659
9.0,61,11.0,27.375,enth13,23.979935
9.0,61,10.0,29.438,enth13,23.867783
10.0,63,10.0,29.188,enth13,27.22
10.0,63,10.0,28.812,enth13,27.22
10.0,63,10.0,29.188,enth13,27.22
10.0,63,10.0,28.812,enth13,26.67
9.0,63,10.0,27.562,enth13,24.850464
9.0,63,10.0,28.188,enth13,24.356453
9.0,63,11.0,30.562,enth13,29.263
9.0,63,10.0,31.062,enth13,29.3079
9.0,63,10.0,31.188,enth13,29.3225
9.0,63,11.0,31.375,enth13,29.2046
9.0,66,10.0,30.5,enth13,29.1295
9.0,65,10.0,29.75,enth13,29.0127
9.0,65,10.0,30.75,enth13,29.6781
9.0,65,10.0,30.938,enth13,29.8096
9.0,65,10.0,31.188,enth13,30.0463
9.0,65,10.0,31.562,enth13,30.208
9.0,65,11.0,32.562,enth13,30.8286
9.0,65,11.0,32.0,enth13,30.9621
9.0,65,10.0,32.188,enth13,30.9621
9.0,65,10.0,32.812,enth13,31.082
9.0,65,10.0,32.375,enth13,30.9788
9.0,65,10.0,31.812,enth13,29.8982
9.0,65,10.0,30.875,enth13,28.5705
9.0,65,10.0,30.562,enth13,28.3504
9.0,65,10.0,31.562,enth13,28.9991
9.0,65,10.0,31.688,enth13,29.456
9.0,65,11.0,31.062,enth13,25.0
9.0,65,10.0,31.562,enth13,29.2328
9.0,65,10.0,31.562,enth13,29.6615
9.0,65,11.0,31.938,enth13,29.5165
9.0,65,11.0,31.625,enth13,29.3496
9.0,65,10.0,31.625,enth13,29.4278
9.0,64,10.0,30.688,enth13,32.6611
9.0,64,10.0,30.562,enth13,32.5579
9.0,64,10.0,30.938,enth13,32.8259
9.0,63,10.0,30.938,enth13,32.706
9.0,63,10.0,31.125,enth13,32.8562
9.0,63,10.0,31.625,enth13,32.6173
9.0,63,10.0,31.188,enth13,32.778
9.0,63,10.0,31.25,enth13,32.5443
9.0,63,10.0,30.938,enth13,32.1021
9.0,63,10.0,30.938,enth13,31.7892
9.0,63,10.0,30.938,enth13,32.8395
9.0,63,10.0,31.375,enth13,33.3579
9.0,63,10.0,31.25,enth13,33.7865
9.0,63,10.0,31.5,enth13,33.8898
